"ecosystem","component","package","version","relationship","development_only","optional","licence_from_source","source_file","installation_path"
"npm","frontend","@babel/traverse","7.29.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/traverse"
"npm","frontend","@babel/types","7.29.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/types"
"npm","frontend","@bramus/specificity","2.4.2","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@bramus/specificity"
"npm","frontend","@csstools/color-helpers","6.1.1","transitive","true","false","MIT-0","kubeview-frontend/package-lock.json","node_modules/@csstools/color-helpers"
"npm","frontend","@csstools/css-calc","3.3.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@csstools/css-calc"
"npm","frontend","@csstools/css-color-parser","4.2.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@csstools/css-color-parser"
"npm","frontend","@csstools/css-parser-algorithms","4.0.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@csstools/css-parser-algorithms"
"npm","frontend","@csstools/css-syntax-patches-for-csstree","1.1.9","transitive","true","false","MIT-0","kubeview-frontend/package-lock.json","node_modules/@csstools/css-syntax-patches-for-csstree"
"npm","frontend","@csstools/css-tokenizer","4.0.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@csstools/css-tokenizer"
"npm","frontend","@emnapi/core","1.8.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@emnapi/core"
"npm","frontend","@emnapi/runtime","1.8.1","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@emnapi/runtime"
"npm","frontend","@emnapi/wasi-threads","1.1.0","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@emnapi/wasi-threads"
"npm","frontend","@eslint-community/eslint-utils","4.9.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@eslint-community/eslint-utils"
"npm","frontend","@eslint-community/regexpp","4.12.2","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@eslint-community/regexpp"
"npm","frontend","@eslint/config-array","0.21.1","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@eslint/config-array"
"npm","frontend","@eslint/config-helpers","0.4.2","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@eslint/config-helpers"
"npm","frontend","@eslint/core","0.17.0","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@eslint/core"
"npm","frontend","@eslint/eslintrc","3.3.4","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@eslint/eslintrc"
"npm","frontend","@eslint/js","9.39.3","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@eslint/js"
"npm","frontend","@eslint/object-schema","2.1.7","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@eslint/object-schema"
"npm","frontend","@eslint/plugin-kit","0.4.1","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@eslint/plugin-kit"
"npm","frontend","@exodus/bytes","1.15.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@exodus/bytes"
"npm","frontend","@humanfs/core","0.19.1","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@humanfs/core"
"npm","frontend","@humanfs/node","0.16.7","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@humanfs/node"
"npm","frontend","@humanwhocodes/module-importer","1.0.1","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@humanwhocodes/module-importer"
"npm","frontend","@humanwhocodes/retry","0.4.3","transitive","true","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@humanwhocodes/retry"
"npm","frontend","@img/colour","1.1.0","transitive","false","true","MIT","kubeview-frontend/package-lock.json","node_modules/@img/colour"
"npm","frontend","@img/sharp-darwin-arm64","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-darwin-arm64"
"npm","frontend","@img/sharp-darwin-x64","0.34.5","transitive","false","true","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@img/sharp-darwin-x64"
"npm","frontend","@img/sharp-libvips-darwin-arm64","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-darwin-arm64"
"npm","frontend","@img/sharp-libvips-darwin-x64","1.2.4","transitive","false","true","LGPL-3.0-or-later","kubeview-frontend/package-lock.json","node_modules/@img/sharp-libvips-darwin-x64"
